Інститут психіатрії,"організація, координація та проведення (у т.ч. спільно зі студентами) фундаментальних та прикладних наукових досліджень проблем етіології та патогенезу психічних та поведінкових розладів, їх біологічних і соціальних чинників і наслідків;"
Інститут психіатрії,"наукова розробка і впровадження високоефективних медичних технологій і методів діагностики, лікування, реабілітації та профілактики психічних і поведінкових розладів;"
Інститут психіатрії,"розробка теоретичних, методичних і практичних питань судово-психіатричної експертизи;"
Інститут психіатрії,"участь у створенні та виконанні інноваційних проектів і програм в галузі психіатрії, наркології, психотерапії, медичної психології, організації охорони психічного здоров’я та судово-психіатричної експертизи;"
Інститут психіатрії,"підготовка фахівців найвищої кваліфікації у сфері природничих наук: кандидатів і докторів наук (докторів філософії) у галузі знань 22 «Охорона здоров’я» зі спеціальності 222 «Медицина» для України та іноземних країн, відповідно з затвердженим в установленому порядку планом набору, міждержавними договорами та індивідуальними контрактами;"
Інститут психіатрії,"підвищення рівня кваліфікації та перепідготовка фахівців, з надання психіатричної допомоги та судово-психіатричної експертизи на тематичних курсах (циклах) стажування та інформації, семінарах а також шляхом стажування на робочих місцях;"
Інститут психіатрії,надання високоспеціалізованої медичної допомоги особам з вадами психічного здоров’я;
Інститут психіатрії,"організація та участь у роботі науково-практичних конференцій, нарад, конгресів, симпозіумів, в тому числі міжнародних, за профілем діяльності Інституту;"
Інститут психіатрії,"здійснення міжнародної співпраці та партнерства на підставі угод, укладених університетом."
Відділ забезпечення якості освіти,організацію системи забезпечення якості освіти на рівні Університету;
Відділ забезпечення якості освіти,"реалізацію загальноуніверситетських заходів із забезпечення якості освіти та моніторинг реалізації завдань із забезпечення якості освіти структурними підрозділами Університету (факультетами/інститутами, коледжами, ліцеєм, відділеннями, кафедрами тощо);"
Відділ забезпечення якості освіти,"надання методичної, консультаційної та організаційної допомоги з питань забезпечення якості освіти структурним підрозділам Університету, науково-педагогічним, педагогічним працівникам і здобувачам освіти;"
Відділ забезпечення якості освіти,"формування в Університеті культури якості, зокрема шляхом сприяння академічним свободам і академічній доброчесності, а також протидії порушенням академічної доброчесності учасниками освітнього процесу;"
Відділ забезпечення якості освіти,залучення  зовнішніх  експертів і зацікавлених сторін  до  забезпечення якості освіти в Університеті.
Відділ внутрішнього аудиту,"Здійснення внутрішнього аудиту діяльності Університету та його структурних підрозділів у питаннях організації роботи, виконання покладених на них завдань і функцій, виконання вимог норм чинного законодавства."
Відділ внутрішнього аудиту,Виявлення і аналіз причин порушення норм чинного законодавства у діяльності Університету та його структурних підрозділів.
Відділ внутрішнього аудиту,Надання ректору Університету незалежних і об’єктивних висновків та рекомендацій щодо:
Відділ внутрішнього аудиту,функціонування системи внутрішнього контролю та її  покращення;
Відділ внутрішнього аудиту,удосконалення системи управління;
Відділ внутрішнього аудиту,"запобігання фактам незаконного, нецільового, неефективного та нерезультативного використання бюджетних коштів та інших активів;"
Відділ внутрішнього аудиту,запобігання виникненню помилок чи інших недоліків у діяльності  Університету.
Відділ академічної мобільності,навчання;
Відділ академічної мобільності,наукове та мовне стажування;
Відділ академічної мобільності,проведення наукових досліджень;
Відділ академічної мобільності,наукове стажування  та підвищення квафілікації;
Відділ академічної мобільності,викладання;
Відділ академічної мобільності,участь у спільних проектах
Відділ академічної мобільності,"поширення інформації про можливості студентської та викладацької мобільності на факультетах/ в інститутах Університету, конкурси, міжнародні програми та про можливості співпраці з закладами вищої освіти та науковими установами України й зарубіжжя;"
Відділ академічної мобільності,"організація презентацій міжнародних грантових, стипендіальних програм, програм подвійного дипломування, програм обміну та інших заходів, спрямованих на оптимізацію та розширення академічної мобільності Університету;"
Відділ академічної мобільності,"розробка, адміністрування та координація навчальних планів і програм у межах програм мобільності студентів, укладених із закладами вищої освіти-партнерами (внутрішня та зовнішня мобільність, передусім у межах міжнародних програм Erasmus+, Tempus, стипендіальних програм, програм подвійного дипломування та програм обміну);"
Відділ академічної мобільності,"забезпечення необхідного документообігу, консультування та перевірка належних документів та заявок за програмами мобільності;"
Відділ академічної мобільності,"створення системи кураторства і консультування, яка допомагатиме студентам та викладачам у практичній реалізації їхніх потреб щодо мобільності, зокрема підтримка й консультування студентів, які прибувають на навчання до Університету;"
Відділ академічної мобільності,"поглиблення співпраці з міжнародними фондами, проектами, програмами;"
Відділ академічної мобільності,"пошук міжнародних грантів, проектів, конкурсів (в т.ч. спільних з вищими навчальними закладами та установами інших країн;"
